,position,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
0,Forward,93,93,78000000.0,320000.0,34,170,72,Paris Saint-Germain,French Ligue 1,2023.0,Argentina,Left,4,4,5,Medium/Low,85.0,92.0,91.0,95.0,34.0,65.0,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24
1,Forward,92,92,119500000.0,270000.0,32,185,81,FC Bayern München,German 1. Bundesliga,2023.0,Poland,Right,4,4,5,High/Medium,78.0,92.0,79.0,86.0,44.0,82.0,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88,35,42,19
2,Forward,91,91,45000000.0,270000.0,36,187,83,Manchester United,English Premier League,2023.0,Portugal,Right,4,5,5,High/Low,87.0,94.0,80.0,88.0,34.0,75.0,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24
3,Forward,91,91,129000000.0,270000.0,29,175,68,Paris Saint-Germain,French Ligue 1,2025.0,Brazil,Right,5,5,5,High/Medium,91.0,83.0,86.0,94.0,37.0,63.0,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,35,32,29
4,Midfielder,91,91,125500000.0,350000.0,30,181,70,Manchester City,English Premier League,2025.0,Belgium,Right,5,4,4,High/High,76.0,86.0,93.0,88.0,64.0,78.0,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53
5,Forward,91,95,194000000.0,230000.0,22,182,73,Paris Saint-Germain,French Ligue 1,2022.0,France,Right,4,5,4,High/Low,97.0,88.0,80.0,92.0,36.0,77.0,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32
6,Forward,90,90,129500000.0,240000.0,27,188,89,Tottenham Hotspur,English Premier League,2024.0,England,Right,5,3,4,High/High,70.0,91.0,83.0,83.0,47.0,83.0,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38
7,Midfielder,90,90,100000000.0,230000.0,30,168,70,Chelsea,English Premier League,2023.0,France,Right,3,2,4,Medium/High,78.0,66.0,75.0,82.0,87.0,83.0,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86
8,Forward,89,89,66000000.0,350000.0,33,185,81,Real Madrid CF,Spain Primera Division,2023.0,France,Right,4,4,4,Medium/Medium,76.0,86.0,81.0,87.0,39.0,77.0,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18
9,Midfielder,89,89,104000000.0,220000.0,28,183,78,Tottenham Hotspur,English Premier League,2025.0,Korea Republic,Right,5,4,4,High/High,88.0,87.0,82.0,86.0,43.0,69.0,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33
10,Midfielder,89,89,88000000.0,310000.0,29,185,84,Real Madrid CF,Spain Primera Division,2025.0,Brazil,Right,3,2,3,High/High,65.0,73.0,76.0,73.0,86.0,90.0,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87
